mass No Yp H2/H He3/H Li7/H Li6/H Be7/H 
.01 1 2.673e-01 1.751e-05 9.201e-06 8.912e-10 8.598e-15 8.662e-10 
.01 2 2.810e-01 1.338e-05 8.527e-06 1.247e-09 7.055e-15 1.226e-09 
.01 3 2.779e-01 1.424e-05 8.651e-06 1.165e-09 7.392e-15 1.142e-09 
.01 4 2.965e-01 9.700e-06 7.853e-06 1.761e-09 5.540e-15 1.744e-09 
.11 1 2.639e-01 1.805e-05 9.213e-06 8.570e-10 8.661e-15 8.330e-10 
.11 2 2.763e-01 1.418e-05 8.488e-06 1.173e-09 7.235e-15 1.153e-09 
.11 3 2.744e-01 1.462e-05 8.603e-06 1.128e-09 7.390e-15 1.108e-09 
.11 4 2.923e-01 1.010e-05 7.770e-06 1.692e-09 5.565e-15 1.677e-09 
.21 1 2.585e-01 1.977e-05 9.468e-06 7.643e-10 9.234e-15 7.387e-10 
.21 2 2.680e-01 1.661e-05 8.863e-06 9.785e-10 8.139e-15 9.557e-10 
.21 3 2.671e-01 1.691e-05 8.908e-06 9.558e-10 8.248e-15 9.328e-10 
.21 4 2.825e-01 1.274e-05 8.097e-06 1.358e-09 6.706e-15 1.339e-09 
.31 1 2.541e-01 2.140e-05 9.779e-06 6.743e-10 9.775e-15 6.475e-10 
.31 2 2.603e-01 1.920e-05 9.361e-06 7.966e-10 9.055e-15 7.714e-10 
.31 3 2.598e-01 1.943e-05 9.392e-06 7.851e-10 9.139e-15 7.597e-10 
.31 4 2.712e-01 1.642e-05 8.776e-06 9.984e-10 8.181e-15 9.756e-10 
.41 1 2.514e-01 2.252e-05 9.947e-06 6.186e-10 1.015e-14 5.912e-10 
.41 2 2.552e-01 2.082e-05 9.695e-06 6.954e-10 9.571e-15 6.693e-10 
.41 3 2.549e-01 2.103e-05 9.730e-06 6.867e-10 9.654e-15 6.603e-10 
.41 4 2.624e-01 1.903e-05 9.311e-06 8.045e-10 9.083e-15 7.796e-10 
.51 1 2.500e-01 2.289e-05 1.004e-05 5.982e-10 1.024e-14 5.706e-10 
.51 2 2.524e-01 2.147e-05 9.862e-06 6.537e-10 9.733e-15 6.273e-10 
.51 3 2.523e-01 2.170e-05 9.890e-06 6.462e-10 9.829e-15 6.196e-10 
.51 4 2.573e-01 2.013e-05 9.623e-06 7.241e-10 9.363e-15 6.986e-10 
.61 1 2.493e-01 2.303e-05 1.007e-05 5.902e-10 1.026e-14 5.627e-10 
.61 2 2.510e-01 2.174e-05 9.916e-06 6.369e-10 9.782e-15 6.105e-10 
.61 3 2.509e-01 2.196e-05 9.953e-06 6.293e-10 9.877e-15 6.027e-10 
.61 4 2.547e-01 2.068e-05 9.716e-06 6.883e-10 9.494e-15 6.625e-10 
.71 1 2.488e-01 2.299e-05 1.010e-05 5.877e-10 1.022e-14 5.601e-10 
.71 2 2.501e-01 2.197e-05 9.919e-06 6.250e-10 9.842e-15 5.984e-10 
.71 3 2.501e-01 2.221e-05 9.950e-06 6.178e-10 9.948e-15 5.909e-10 
.71 4 2.532e-01 2.076e-05 9.786e-06 6.758e-10 9.459e-15 6.500e-10 
.81 1 2.485e-01 2.294e-05 1.012e-05 5.877e-10 1.018e-14 5.602e-10 
.81 2 2.495e-01 2.176e-05 9.939e-06 6.314e-10 9.715e-15 6.050e-10 
.81 3 2.496e-01 2.198e-05 9.977e-06 6.243e-10 9.814e-15 5.977e-10 
.81 4 2.522e-01 2.083e-05 9.760e-06 6.718e-10 9.443e-15 6.461e-10 
.91 1 2.482e-01 2.296e-05 1.011e-05 5.865e-10 1.017e-14 5.591e-10 
.91 2 2.490e-01 2.179e-05 9.932e-06 6.287e-10 9.703e-15 6.024e-10 
.91 3 2.491e-01 2.201e-05 9.971e-06 6.220e-10 9.802e-15 5.954e-10 
.91 4 2.514e-01 2.084e-05 9.758e-06 6.684e-10 9.408e-15 6.428e-10 
1.01 1 2.479e-01 2.285e-05 1.009e-05 5.921e-10 1.011e-14 5.648e-10 
1.01 2 2.485e-01 2.176e-05 9.935e-06 6.273e-10 9.666e-15 6.012e-10 
1.01 3 2.487e-01 2.197e-05 9.974e-06 6.208e-10 9.766e-15 5.944e-10 
1.01 4 2.507e-01 2.064e-05 9.777e-06 6.740e-10 9.277e-15 6.487e-10 
1.11 1 2.477e-01 2.285e-05 1.009e-05 5.907e-10 1.010e-14 5.635e-10 
1.11 2 2.481e-01 2.177e-05 9.931e-06 6.258e-10 9.648e-15 5.997e-10 
1.11 3 2.483e-01 2.197e-05 9.971e-06 6.196e-10 9.744e-15 5.933e-10 
1.11 4 2.500e-01 2.068e-05 9.770e-06 6.687e-10 9.265e-15 6.435e-10 
1.21 1 2.475e-01 2.286e-05 1.009e-05 5.894e-10 1.009e-14 5.622e-10 
1.21 2 2.477e-01 2.176e-05 9.935e-06 6.244e-10 9.622e-15 5.983e-10 
1.21 3 2.479e-01 2.197e-05 9.968e-06 6.186e-10 9.724e-15 5.923e-10 
1.21 4 2.493e-01 2.069e-05 9.761e-06 6.661e-10 9.238e-15 6.411e-10 
1.31 1 2.473e-01 2.287e-05 1.010e-05 5.879e-10 1.009e-14 5.608e-10 
1.31 2 2.474e-01 2.175e-05 9.939e-06 6.230e-10 9.600e-15 5.970e-10 
1.31 3 2.476e-01 2.197e-05 9.964e-06 6.174e-10 9.708e-15 5.911e-10 
1.31 4 2.487e-01 2.066e-05 9.761e-06 6.650e-10 9.194e-15 6.400e-10 
1.41 1 2.471e-01 2.288e-05 1.009e-05 5.873e-10 1.008e-14 5.603e-10 
1.41 2 2.470e-01 2.176e-05 9.938e-06 6.218e-10 9.586e-15 5.958e-10 
1.41 3 2.472e-01 2.197e-05 9.962e-06 6.164e-10 9.692e-15 5.902e-10 
1.41 4 2.481e-01 2.067e-05 9.755e-06 6.629e-10 9.168e-15 6.381e-10 
1.51 1 2.470e-01 2.287e-05 1.010e-05 5.868e-10 1.007e-14 5.598e-10 
1.51 2 2.467e-01 2.176e-05 9.937e-06 6.207e-10 9.572e-15 5.948e-10 
1.51 3 2.470e-01 2.197e-05 9.970e-06 6.148e-10 9.673e-15 5.886e-10 
1.51 4 2.476e-01 2.069e-05 9.746e-06 6.603e-10 9.154e-15 6.355e-10 
1.61 1 2.468e-01 2.286e-05 1.010e-05 5.866e-10 1.006e-14 5.596e-10 
1.61 2 2.465e-01 2.178e-05 9.935e-06 6.193e-10 9.566e-15 5.935e-10 
1.61 3 2.467e-01 2.198e-05 9.967e-06 6.135e-10 9.667e-15 5.874e-10 
1.61 4 2.471e-01 2.070e-05 9.743e-06 6.585e-10 9.131e-15 6.338e-10 
1.71 1 2.467e-01 2.286e-05 1.010e-05 5.863e-10 1.005e-14 5.592e-10 
1.71 2 2.462e-01 2.180e-05 9.932e-06 6.177e-10 9.567e-15 5.919e-10 
1.71 3 2.465e-01 2.200e-05 9.964e-06 6.121e-10 9.664e-15 5.860e-10 
1.71 4 2.467e-01 2.070e-05 9.740e-06 6.570e-10 9.110e-15 6.323e-10 
1.81 1 2.466e-01 2.288e-05 1.010e-05 5.860e-10 1.005e-14 5.590e-10 
1.81 2 2.460e-01 2.181e-05 9.933e-06 6.168e-10 9.559e-15 5.910e-10 
