mass No Yp H2/H He3/H Li7/H Li6/H Be7/H 
.01 1 2.552e-01 2.645e-05 1.057e-05 5.151e-10 1.213e-14 4.834e-10 
.01 2 2.619e-01 2.817e-05 1.083e-05 4.933e-10 1.336e-14 4.585e-10 
.01 3 2.602e-01 2.771e-05 1.077e-05 4.988e-10 1.304e-14 4.649e-10 
.01 4 2.711e-01 3.107e-05 1.120e-05 4.547e-10 1.543e-14 4.156e-10 
.11 1 2.553e-01 2.679e-05 1.062e-05 5.077e-10 1.229e-14 4.756e-10 
.11 2 2.621e-01 2.916e-05 1.094e-05 4.720e-10 1.384e-14 4.362e-10 
.11 3 2.605e-01 2.835e-05 1.085e-05 4.869e-10 1.335e-14 4.521e-10 
.11 4 2.715e-01 3.242e-05 1.135e-05 4.346e-10 1.612e-14 3.938e-10 
.21 1 2.552e-01 2.687e-05 1.065e-05 5.048e-10 1.233e-14 4.725e-10 
.21 2 2.621e-01 2.950e-05 1.096e-05 4.649e-10 1.401e-14 4.289e-10 
.21 3 2.605e-01 2.877e-05 1.091e-05 4.753e-10 1.356e-14 4.401e-10 
.21 4 2.717e-01 3.318e-05 1.148e-05 4.185e-10 1.652e-14 3.770e-10 
.31 1 2.550e-01 2.688e-05 1.065e-05 5.040e-10 1.232e-14 4.718e-10 
.31 2 2.618e-01 2.955e-05 1.096e-05 4.635e-10 1.401e-14 4.276e-10 
.31 3 2.603e-01 2.880e-05 1.092e-05 4.738e-10 1.356e-14 4.387e-10 
.31 4 2.715e-01 3.348e-05 1.149e-05 4.123e-10 1.665e-14 3.708e-10 
.41 1 2.548e-01 2.686e-05 1.065e-05 5.037e-10 1.229e-14 4.715e-10 
.41 2 2.613e-01 2.952e-05 1.096e-05 4.629e-10 1.396e-14 4.271e-10 
.41 3 2.600e-01 2.878e-05 1.092e-05 4.733e-10 1.352e-14 4.382e-10 
.41 4 2.710e-01 3.346e-05 1.149e-05 4.113e-10 1.660e-14 3.699e-10 
.51 1 2.544e-01 2.683e-05 1.064e-05 5.034e-10 1.226e-14 4.713e-10 
.51 2 2.607e-01 2.946e-05 1.096e-05 4.623e-10 1.389e-14 4.266e-10 
.51 3 2.595e-01 2.874e-05 1.092e-05 4.728e-10 1.347e-14 4.379e-10 
.51 4 2.703e-01 3.314e-05 1.148e-05 4.162e-10 1.638e-14 3.750e-10 
.61 1 2.541e-01 2.680e-05 1.064e-05 5.031e-10 1.222e-14 4.712e-10 
.61 2 2.601e-01 2.941e-05 1.095e-05 4.619e-10 1.382e-14 4.264e-10 
.61 3 2.590e-01 2.871e-05 1.091e-05 4.724e-10 1.342e-14 4.376e-10 
.61 4 2.695e-01 3.306e-05 1.147e-05 4.159e-10 1.627e-14 3.750e-10 
