mass No Yp H2/H He3/H Li7/H Li6/H Be7/H 
0.01 1 2.673e-01 1.751e-05 9.201e-06 8.912e-10 8.598e-15 8.662e-10 
0.01 2 2.810e-01 1.338e-05 8.527e-06 1.247e-09 7.055e-15 1.226e-09 
0.01 3 2.779e-01 1.424e-05 8.651e-06 1.165e-09 7.392e-15 1.142e-09 
0.01 4 2.965e-01 9.700e-06 7.853e-06 1.761e-09 5.540e-15 1.744e-09 
0.03 1 2.670e-01 1.748e-05 9.192e-06 8.913e-10 8.552e-15 8.668e-10 
0.03 2 2.806e-01 1.335e-05 8.523e-06 1.246e-09 7.006e-15 1.225e-09 
0.03 3 2.777e-01 1.419e-05 8.644e-06 1.166e-09 7.339e-15 1.144e-09 
0.03 4 2.962e-01 9.656e-06 7.847e-06 1.761e-09 5.487e-15 1.745e-09 
0.07 1 2.658e-01 1.760e-05 9.169e-06 8.845e-10 8.529e-15 8.607e-10 
0.07 2 2.789e-01 1.347e-05 8.496e-06 1.233e-09 6.968e-15 1.214e-09 
0.07 3 2.765e-01 1.426e-05 8.612e-06 1.153e-09 7.289e-15 1.132e-09 
0.07 4 2.948e-01 9.678e-06 7.800e-06 1.750e-09 5.409e-15 1.735e-09 
0.1 1 2.644e-01 1.788e-05 9.214e-06 8.656e-10 8.599e-15 8.418e-10 
0.1 2 2.770e-01 1.395e-05 8.493e-06 1.188e-09 7.144e-15 1.169e-09 
0.1 3 2.750e-01 1.451e-05 8.597e-06 1.136e-09 7.357e-15 1.115e-09 
0.1 4 2.930e-01 9.915e-06 7.784e-06 1.716e-09 5.485e-15 1.701e-09 
0.3 1 2.545e-01 2.131e-05 9.747e-06 6.802e-10 9.750e-15 6.535e-10 
0.3 2 2.610e-01 1.900e-05 9.318e-06 8.090e-10 8.992e-15 7.840e-10 
0.3 3 2.605e-01 1.924e-05 9.347e-06 7.968e-10 9.081e-15 7.717e-10 
0.3 4 2.722e-01 1.601e-05 8.698e-06 1.037e-09 8.018e-15 1.015e-09 
0.7 1 2.488e-01 2.299e-05 1.010e-05 5.879e-10 1.022e-14 5.604e-10 
0.7 2 2.502e-01 2.197e-05 9.914e-06 6.259e-10 9.844e-15 5.993e-10 
0.7 3 2.502e-01 2.219e-05 9.952e-06 6.186e-10 9.942e-15 5.917e-10 
0.7 4 2.533e-01 2.087e-05 9.746e-06 6.746e-10 9.514e-15 6.487e-10 
0.9 1 2.482e-01 2.295e-05 1.011e-05 5.868e-10 1.017e-14 5.594e-10 
0.9 2 2.490e-01 2.179e-05 9.932e-06 6.289e-10 9.706e-15 6.025e-10 
0.9 3 2.491e-01 2.201e-05 9.971e-06 6.221e-10 9.805e-15 5.955e-10 
0.9 4 2.515e-01 2.085e-05 9.758e-06 6.686e-10 9.413e-15 6.430e-10 
1.1 1 2.477e-01 2.284e-05 1.009e-05 5.908e-10 1.010e-14 5.636e-10 
1.1 2 2.481e-01 2.177e-05 9.931e-06 6.259e-10 9.650e-15 5.998e-10 
1.1 3 2.483e-01 2.197e-05 9.971e-06 6.197e-10 9.746e-15 5.934e-10 
1.1 4 2.501e-01 2.068e-05 9.772e-06 6.691e-10 9.266e-15 6.439e-10 
3 1 2.461e-01 2.305e-05 1.011e-05 5.791e-10 1.010e-14 5.520e-10 
3 2 2.449e-01 2.201e-05 9.960e-06 6.070e-10 9.588e-15 5.812e-10 
3 3 2.451e-01 2.213e-05 9.984e-06 6.035e-10 9.649e-15 5.775e-10 
3 4 2.438e-01 2.083e-05 9.757e-06 6.426e-10 9.029e-15 6.182e-10 
5 1 2.465e-01 2.345e-05 1.015e-05 5.690e-10 1.029e-14 5.415e-10 
5 2 2.454e-01 2.264e-05 1.003e-05 5.893e-10 9.888e-15 5.627e-10 
5 3 2.455e-01 2.270e-05 1.003e-05 5.880e-10 9.916e-15 5.614e-10 
5 4 2.442e-01 2.149e-05 9.852e-06 6.212e-10 9.328e-15 5.959e-10 
9 1 2.473e-01 2.405e-05 1.024e-05 5.547e-10 1.060e-14 5.265e-10 
9 2 2.468e-01 2.365e-05 1.017e-05 5.644e-10 1.040e-14 5.367e-10 
9 3 2.468e-01 2.365e-05 1.018e-05 5.643e-10 1.040e-14 5.365e-10 
9 4 2.460e-01 2.299e-05 1.006e-05 5.813e-10 1.007e-14 5.543e-10 
15 1 2.478e-01 2.434e-05 1.030e-05 5.476e-10 1.076e-14 5.190e-10 
15 2 2.477e-01 2.427e-05 1.029e-05 5.494e-10 1.072e-14 5.209e-10 
15 3 2.477e-01 2.427e-05 1.029e-05 5.494e-10 1.072e-14 5.208e-10 
15 4 2.475e-01 2.412e-05 1.026e-05 5.529e-10 1.064e-14 5.246e-10 
25 1 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
25 2 2.479e-01 2.441e-05 1.032e-05 5.460e-10 1.079e-14 5.173e-10 
25 3 2.479e-01 2.441e-05 1.032e-05 5.460e-10 1.079e-14 5.173e-10 
25 4 2.479e-01 2.441e-05 1.032e-05 5.461e-10 1.079e-14 5.174e-10 
35 1 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
35 2 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
35 3 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
35 4 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
50 1 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
50 2 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
50 3 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
50 4 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
70 1 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
70 2 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
70 3 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
70 4 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
85 1 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
85 2 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
85 3 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
85 4 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
100 1 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
100 2 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
100 3 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
100 4 2.479e-01 2.442e-05 1.032e-05 5.459e-10 1.079e-14 5.172e-10 
